member_id,loan_amnt,funded_amnt,term,int_rate,installment,grade,home_ownership,annual_inc,dti,fico_range_low,fico_range_high,loan_status
1302790,16000,16000, 60 months,19.91%,423.11,E,RENT,81000,20.52,665,669,Fully Paid
1302882,10000,10000, 36 months,12.42%,334.16,B,OWN,39000,18.58,685,689,Fully Paid
1274517,10000,10000, 36 months,10.65%,325.74,B,RENT,51400,19.14,715,719,Fully Paid
1287308,7100,7100, 36 months,16.77%,252.33,D,MORTGAGE,33000,24,680,684,Fully Paid
1287810,13000,13000, 60 months,12.69%,293.74,B,MORTGAGE,30000,13.72,730,734,Fully Paid
1277395,17500,8950, 60 months,17.27%,223.74,D,RENT,40000,19.47,705,709,Fully Paid
1278095,17675,17675, 60 months,14.65%,417.25,C,RENT,50000,16.46,720,724,Fully Paid
1303549,8000,8000, 36 months,16.77%,284.31,D,RENT,62000,21.64,660,664,Fully Paid
1303778,10000,10000, 60 months,10.65%,215.69,B,RENT,45996,21.73,755,759,Charged Off
1303750,3500,3500, 36 months,10.65%,114.01,B,MORTGAGE,55000,5.39,700,704,Fully Paid
1303740,12500,8925, 60 months,17.27%,223.11,D,RENT,30000,13.16,690,694,Charged Off
1303473,16425,16425, 36 months,14.27%,563.53,C,RENT,44544,22.71,695,699,Fully Paid
1303528,8200,8200, 60 months,21.28%,223.14,F,RENT,75000,12.48,675,679,Charged Off
1303718,15000,15000, 36 months,14.65%,517.42,C,OWN,61000,11.88,685,689,Fully Paid
1303486,20975,13575, 60 months,17.58%,341.63,D,MORTGAGE,44000,18.79,685,689,Fully Paid
1292558,6400,6400, 36 months,16.77%,227.45,D,RENT,75000,20.22,660,664,Charged Off
1303716,3000,3000, 36 months,13.49%,101.8,C,RENT,33600,18.11,670,674,Fully Paid
1299004,12000,12000, 36 months,16.77%,426.47,D,RENT,50000,20.57,675,679,Fully Paid
1303514,14400,14400, 36 months,8.90%,457.25,A,OWN,150000,14.85,720,724,Fully Paid
1303303,12000,12000, 36 months,14.65%,413.94,C,RENT,90000,16.56,675,679,Fully Paid
1303482,11000,11000, 36 months,13.49%,373.24,C,MORTGAGE,48000,21.82,690,694,Fully Paid
1302799,7250,7200, 60 months,21.67%,197.51,F,RENT,75000,24.82,680,684,Fully Paid
1303437,15000,15000, 36 months,7.90%,469.36,A,MORTGAGE,52000,9.65,765,769,Fully Paid
1279714,18000,18000, 60 months,19.91%,475.99,E,MORTGAGE,65000,6.81,660,664,Fully Paid
1303432,35000,22075, 60 months,17.27%,551.84,D,MORTGAGE,150000,7.51,725,729,Fully Paid
1302869,10000,10000, 36 months,14.27%,343.09,C,RENT,68000,15.39,680,684,Fully Paid
1282013,11800,11800, 36 months,12.69%,395.83,B,RENT,42000,9.86,690,694,Fully Paid
1303403,4500,4500, 36 months,6.03%,136.96,A,RENT,53000,4.44,760,764,Fully Paid
1303379,7000,7000, 36 months,12.69%,234.82,B,RENT,35000,11.35,680,684,Fully Paid
1276120,9200,9200, 36 months,12.42%,307.43,B,RENT,60000,19.96,700,704,Fully Paid
1297940,14000,14000, 60 months,17.27%,349.98,D,RENT,28000,6.34,700,704,Current
1272024,4500,4500, 60 months,10.65%,97.06,B,MORTGAGE,42000,5.4,750,754,Fully Paid
1303326,12000,12000, 36 months,16.29%,423.61,D,RENT,88365,16.85,680,684,Fully Paid
1303200,12000,12000, 36 months,13.49%,407.17,C,RENT,72000,21.33,685,689,Fully Paid
1303163,12000,12000, 36 months,10.65%,390.88,B,RENT,62000,23.94,700,704,Fully Paid
1302938,7000,7000, 36 months,10.65%,228.02,B,MORTGAGE,43680,5.38,685,689,Fully Paid
1299785,8200,8200, 60 months,19.42%,214.62,E,RENT,120000,2.8,685,689,Fully Paid
1303150,10500,10500, 36 months,12.69%,352.23,B,RENT,66000,20.73,695,699,Fully Paid
1303147,7000,7000, 36 months,11.71%,231.54,B,OWN,39120,21.01,675,679,Fully Paid
1303001,15300,15300, 60 months,22.06%,423.1,F,RENT,85000,20.58,670,674,Current
1280928,20000,12800, 60 months,11.71%,282.86,B,MORTGAGE,47800,10.04,740,744,Fully Paid
1303143,17500,17500, 60 months,17.27%,437.47,D,MORTGAGE,45000,21.31,700,704,Charged Off
1302971,3500,3500, 36 months,6.03%,106.53,A,MORTGAGE,83000,2.31,745,749,Fully Paid
1302235,6000,6000, 60 months,12.69%,135.57,B,RENT,81000,13.66,695,699,Current
1302907,6200,6200, 36 months,9.91%,199.8,B,RENT,25000,20.64,710,714,Charged Off
1264291,16000,16000, 60 months,17.58%,402.65,D,RENT,65000,15.56,695,699,Fully Paid
1302906,6000,6000, 36 months,8.90%,190.52,A,OWN,28800,13.17,700,704,Fully Paid
1300833,7200,7200, 36 months,9.91%,232.02,B,RENT,135000,6.12,695,699,Fully Paid
1302930,9500,9500, 36 months,8.90%,301.66,A,MORTGAGE,50000,8.18,720,724,Fully Paid
1302924,18825,18825, 60 months,16.77%,465.53,D,RENT,38000,23.18,700,704,Charged Off
1302942,24000,24000, 36 months,10.65%,781.76,B,RENT,45000,14.8,725,729,Fully Paid
1300950,6000,6000, 36 months,13.49%,203.59,C,RENT,80000,11.58,665,669,Fully Paid
1302879,6000,6000, 36 months,13.49%,203.59,C,RENT,50000,15.38,690,694,Fully Paid
1302706,2100,2100, 36 months,12.42%,70.18,B,MORTGAGE,30000,19.72,690,694,Fully Paid
1302680,5500,5500, 36 months,6.62%,168.88,A,MORTGAGE,110000,9.69,740,744,Fully Paid
1302681,11000,11000, 36 months,6.62%,337.75,A,OWN,45608,20.5,735,739,Fully Paid
1302831,26800,26800, 60 months,20.89%,723.38,F,MORTGAGE,120000,12.15,680,684,Fully Paid
1277297,8000,8000, 36 months,12.69%,268.36,B,MORTGAGE,35000,10.05,705,709,Fully Paid
1302365,10000,10000, 36 months,18.25%,362.78,D,RENT,75000,24.14,665,669,Charged Off
1287293,8000,8000, 36 months,11.71%,264.61,B,MORTGAGE,35000,9.7,690,694,Fully Paid
1293438,10000,10000, 36 months,8.90%,317.54,A,RENT,24000,7,710,714,Fully Paid
1302622,12000,12000, 36 months,11.71%,396.92,B,MORTGAGE,126000,13.32,695,699,Fully Paid
1302785,10000,10000, 36 months,7.90%,312.91,A,RENT,43000,25.26,730,734,Fully Paid
1302773,12000,12000, 36 months,9.91%,386.7,B,RENT,50000,16.44,725,729,Fully Paid
1302588,25000,25000, 60 months,13.49%,575.12,C,MORTGAGE,67000,14.15,740,744,Charged Off
1302360,19750,19750, 36 months,10.65%,643.33,B,RENT,45000,22.8,720,724,Charged Off
1302430,10000,10000, 36 months,9.91%,322.25,B,RENT,31200,14.81,710,714,Fully Paid
1299748,13650,13650, 36 months,12.42%,456.12,B,RENT,66000,24.09,675,679,Fully Paid
1302564,28000,11800, 60 months,19.91%,312.04,E,RENT,52000,20.7,685,689,Charged Off
1302728,18000,18000, 36 months,7.90%,563.23,A,RENT,56964,27.55,720,724,Fully Paid
1302565,2500,2500, 36 months,14.27%,85.78,C,RENT,49500,10.33,670,674,Fully Paid
1299784,21000,21000, 60 months,20.30%,559.89,E,RENT,70000,23.21,670,674,Fully Paid
1302729,35000,35000, 36 months,8.90%,1111.37,A,MORTGAGE,125000,22.71,740,744,Fully Paid
1302549,10000,10000, 36 months,7.51%,311.11,A,RENT,33000,9.75,745,749,Fully Paid
1291305,7000,7000, 36 months,12.69%,234.82,B,RENT,30000,15.8,675,679,Fully Paid
1300572,24000,24000, 36 months,15.96%,843.3,C,MORTGAGE,90000,9.17,715,719,Charged Off
1295780,10625,10625, 36 months,7.51%,330.56,A,MORTGAGE,23000,18.89,730,734,Fully Paid
1302311,5000,5000, 36 months,14.65%,172.48,C,RENT,24000,18.3,670,674,Fully Paid
1302299,8850,8850, 36 months,6.62%,271.73,A,RENT,62000,17.71,735,739,Fully Paid
1302295,6375,6375, 36 months,7.51%,198.34,A,RENT,44000,4.8,730,734,Fully Paid
1302467,6000,6000, 36 months,11.71%,198.46,B,RENT,90000,2.97,680,684,Fully Paid
1302472,11100,11100, 36 months,6.62%,340.82,A,RENT,41000,29.85,755,759,Charged Off
1302044,10000,10000, 60 months,12.69%,225.95,B,MORTGAGE,56000,10.82,735,739,Fully Paid
1292431,6200,6200, 36 months,6.03%,188.71,A,MORTGAGE,26500,18.2,770,774,Fully Paid
1293317,15000,15000, 36 months,18.64%,547.12,E,RENT,54000,19.69,660,664,Fully Paid
1302453,4200,4200, 36 months,11.71%,138.92,B,RENT,53000,16.91,680,684,Fully Paid
1301537,14000,14000, 36 months,14.27%,480.33,C,RENT,52800,7.36,680,684,Fully Paid
1030901,8875,8875, 36 months,7.51%,276.11,A,MORTGAGE,38000,23.53,740,744,Fully Paid
1296092,13500,13500, 36 months,9.91%,435.04,B,RENT,38000,12.38,745,749,Fully Paid
1302450,12000,12000, 36 months,9.91%,386.7,B,RENT,42000,7.83,725,729,Charged Off
1302449,16000,16000, 60 months,19.91%,423.11,E,RENT,55000,15.8,665,669,Fully Paid
1270159,21600,21600, 60 months,19.42%,565.32,E,MORTGAGE,60000,16.74,675,679,Fully Paid
1302434,6000,6000, 36 months,10.65%,195.44,B,MORTGAGE,87000,12.86,690,694,Fully Paid
1289398,8450,8450, 60 months,16.77%,208.97,D,OWN,25000,22.51,690,694,Fully Paid
1276836,20000,20000, 60 months,13.49%,460.1,C,RENT,82000,17.68,715,719,Fully Paid
1302151,10000,10000, 36 months,11.71%,330.76,B,RENT,60000,22.08,695,699,Charged Off
1302174,12000,12000, 36 months,16.29%,423.61,D,MORTGAGE,80000,18.18,685,689,Fully Paid
1302371,13475,13475, 60 months,13.49%,309.99,C,RENT,25000,21.89,730,734,Charged Off
1284571,7200,7200, 36 months,12.42%,240.59,B,RENT,48000,17.43,685,689,Fully Paid
1247741,5600,5600, 36 months,14.65%,193.17,C,MORTGAGE,85000,12.24,675,679,Charged Off
1298688,12000,12000, 36 months,14.27%,411.71,C,RENT,57000,10.86,680,684,Fully Paid
1301487,8500,8500, 36 months,6.03%,258.71,A,RENT,25000,1.73,760,764,Fully Paid
1302322,8000,8000, 36 months,9.91%,257.8,B,RENT,34000,18.28,710,714,Fully Paid
1289083,8000,8000, 36 months,12.42%,267.33,B,RENT,40000,15,690,694,Fully Paid
1301868,16000,16000, 60 months,15.27%,382.92,C,RENT,42656.4,17.44,735,739,Fully Paid
1294027,15000,15000, 36 months,17.27%,536.81,D,MORTGAGE,44400,3.59,670,674,Fully Paid
1301839,10000,10000, 36 months,9.91%,322.25,B,OWN,30000,11.24,730,734,Fully Paid
1291030,10000,10000, 36 months,6.62%,307.04,A,MORTGAGE,70000,16.78,740,744,Fully Paid
1294481,8000,8000, 36 months,14.65%,275.96,C,RENT,28000,12.6,675,679,Fully Paid
1302055,22000,22000, 36 months,9.91%,708.95,B,MORTGAGE,50000,13.22,740,744,Fully Paid
1301833,6000,6000, 36 months,14.27%,205.86,C,MORTGAGE,94800,24.53,695,699,Fully Paid
1302043,16000,16000, 60 months,9.91%,339.25,B,OWN,40000,9.39,780,784,Fully Paid
1302032,2500,2500, 36 months,7.51%,77.78,A,OWN,12000,16.3,730,734,Charged Off
1294350,13500,13500, 36 months,9.91%,435.04,B,MORTGAGE,36000,22.93,725,729,Fully Paid
1301822,25000,25000, 36 months,12.42%,835.39,B,RENT,225000,8.32,710,714,Fully Paid
1301804,10000,10000, 36 months,13.49%,339.31,C,RENT,45900,24.97,690,694,Fully Paid
1301984,2500,2500, 36 months,13.49%,84.83,C,RENT,27200,6.44,685,689,Fully Paid
1301961,7325,7325, 36 months,12.69%,245.72,B,RENT,42000,22.57,680,684,Fully Paid
1301944,4000,4000, 36 months,12.42%,133.67,B,RENT,135000,12.12,695,699,Fully Paid
1301744,10000,10000, 36 months,13.49%,339.31,C,RENT,65000,6.92,690,694,Charged Off
1301933,7750,7750, 36 months,17.27%,277.36,D,RENT,24000,16.1,665,669,Charged Off
1294536,20000,20000, 60 months,20.89%,539.84,F,RENT,70000,16.63,665,669,Charged Off
1301036,9600,9600, 36 months,12.42%,320.79,B,RENT,65000,11.65,685,689,Fully Paid
1301506,21000,21000, 60 months,11.71%,464.07,B,RENT,60000,6.62,735,739,Charged Off
1301703,14000,14000, 36 months,10.65%,456.03,B,RENT,30000,15.52,700,704,Fully Paid
1300973,13350,13350, 36 months,12.42%,446.1,B,RENT,43000,20.57,705,709,Fully Paid
1301699,15000,15000, 36 months,16.77%,533.08,D,RENT,42000,19.63,665,669,Charged Off
1301481,15000,15000, 36 months,17.27%,536.81,D,RENT,75000,16.03,665,669,Charged Off
1277832,11000,11000, 60 months,13.49%,253.06,C,MORTGAGE,129000,10.94,720,724,Fully Paid
1301459,35000,35000, 36 months,10.65%,1140.07,B,MORTGAGE,168000,3.17,760,764,Fully Paid
1301465,9000,9000, 36 months,10.65%,293.16,B,MORTGAGE,74000,8.89,705,709,Fully Paid
1292842,22475,22475, 60 months,15.27%,537.87,C,MORTGAGE,52000,15.23,715,719,Fully Paid
1301632,16000,16000, 36 months,12.69%,536.72,B,RENT,58500,20.64,695,699,Charged Off
1301658,13500,13500, 36 months,12.69%,452.86,B,RENT,71000,11.97,710,714,Fully Paid
1301436,24000,24000, 36 months,12.69%,805.08,B,RENT,75000,11.6,700,704,Fully Paid
1301654,12000,12000, 36 months,10.65%,390.88,B,RENT,60000,10.84,715,719,Fully Paid
1301634,8400,8400, 60 months,16.77%,207.73,D,RENT,87996,11.35,685,689,Fully Paid
1300826,28000,28000, 60 months,17.58%,704.64,D,MORTGAGE,140000,12.07,715,719,Fully Paid
1301392,14000,14000, 36 months,6.62%,429.86,A,RENT,66000,11.15,750,754,Fully Paid
1301405,12000,12000, 36 months,14.27%,411.71,C,MORTGAGE,70000,8.4,690,694,Charged Off
1301397,25000,25000, 36 months,11.71%,826.9,B,MORTGAGE,100000,6.88,735,739,Fully Paid
1299445,9000,9000, 36 months,12.69%,301.91,B,RENT,50000,17.81,695,699,Fully Paid
1301395,13250,13250, 36 months,10.65%,431.6,B,RENT,35000,24.93,720,724,Fully Paid
1293509,20000,20000, 36 months,13.49%,678.61,C,RENT,75000,22.38,715,719,Fully Paid
1301384,3000,3000, 36 months,14.65%,103.49,C,RENT,71000,21.84,680,684,Fully Paid
1301585,7350,7350, 36 months,10.65%,239.42,B,MORTGAGE,48000,11.93,695,699,Fully Paid
1301365,11500,11500, 36 months,15.27%,400.18,C,RENT,36000,21.1,670,674,Fully Paid
1260676,13650,13650, 36 months,12.42%,456.12,B,MORTGAGE,86000,12.29,700,704,Charged Off
1301027,10500,10500, 36 months,16.29%,370.66,D,RENT,30000,15,680,684,Charged Off
1301536,12000,12000, 36 months,9.91%,386.7,B,RENT,60000,15.5,715,719,Fully Paid
1301534,6000,6000, 36 months,8.90%,190.52,A,RENT,34000,14.51,715,719,Fully Paid
1301527,11500,11500, 36 months,15.27%,400.18,C,MORTGAGE,44200,21.69,685,689,Fully Paid
1301115,7000,7000, 36 months,12.42%,233.91,B,MORTGAGE,82000,12,690,694,Fully Paid
1300906,29500,29500, 60 months,20.30%,786.51,E,MORTGAGE,83000,20.93,690,694,Fully Paid
1301028,2000,2000, 36 months,15.27%,69.6,C,RENT,41000,17.74,680,684,Fully Paid
1301015,11625,11625, 36 months,13.49%,394.45,C,MORTGAGE,36000,19.33,690,694,Fully Paid
1295793,15075,15075, 36 months,14.27%,517.21,C,RENT,35000,20.16,700,704,Charged Off
1289006,5300,5300, 36 months,15.27%,184.43,C,RENT,30000,24.88,660,664,Fully Paid
1270873,8200,8200, 36 months,6.62%,251.77,A,RENT,40000,11.1,750,754,Fully Paid
1299103,12000,12000, 36 months,12.42%,400.99,B,MORTGAGE,105000,13.98,700,704,Fully Paid
1284024,8650,8650, 36 months,14.27%,296.78,C,MORTGAGE,45000,7.6,680,684,Fully Paid
1300858,21000,11800, 60 months,17.27%,294.98,D,MORTGAGE,109000,7.75,695,699,Fully Paid
1300852,16000,16000, 60 months,17.27%,399.97,D,RENT,50000,11.04,695,699,Current
1300945,12000,12000, 36 months,12.42%,400.99,B,RENT,83000,11.81,700,704,Fully Paid
1300982,9500,9500, 36 months,12.69%,318.68,B,MORTGAGE,52500,23.54,695,699,Charged Off
1300831,7400,7400, 36 months,13.49%,251.09,C,OWN,25000,8.45,690,694,Fully Paid
1300823,14400,14400, 36 months,13.49%,488.6,C,MORTGAGE,60000,16.92,690,694,Fully Paid
1292408,24250,18100, 60 months,23.91%,519.76,G,MORTGAGE,120000,12.96,670,674,Fully Paid
1300949,7200,7200, 36 months,7.90%,225.29,A,RENT,68000,7.98,720,724,Charged Off
1300801,26000,26000, 60 months,16.77%,642.96,D,MORTGAGE,53000,11.77,730,734,Charged Off
1299754,7000,7000, 60 months,11.71%,154.69,B,MORTGAGE,69600,26.22,730,734,Charged Off
1300951,4000,4000, 36 months,7.51%,124.45,A,RENT,65000,18.17,720,724,Fully Paid
1300806,1500,1500, 36 months,17.27%,53.69,D,MORTGAGE,144000,8.23,665,669,Fully Paid
1293857,19600,19600, 36 months,12.42%,654.94,B,RENT,75000,11.62,695,699,Fully Paid
1300783,2500,2500, 36 months,11.71%,82.69,B,MORTGAGE,29000,18.7,685,689,Fully Paid
1300476,10000,10000, 36 months,12.69%,335.45,B,RENT,70000,2.69,685,689,Charged Off
1300506,10000,10000, 36 months,6.62%,307.04,A,RENT,45000,26.85,740,744,Fully Paid
1300495,4225,4225, 36 months,12.42%,141.18,B,MORTGAGE,55200,17.61,690,694,Fully Paid
1300072,3500,3500, 36 months,7.90%,109.52,A,MORTGAGE,61440,6.46,715,719,Fully Paid
1300766,12000,12000, 36 months,6.62%,368.45,A,MORTGAGE,56000,13.65,735,739,Fully Paid
1300722,16500,16500, 36 months,8.90%,523.93,A,RENT,47000,9.06,745,749,Fully Paid
1293224,22000,22000, 60 months,21.67%,603.5,F,RENT,55000,15.62,665,669,Fully Paid
1293522,12000,12000, 36 months,14.65%,413.94,C,RENT,71000,14.87,675,679,Fully Paid
1300716,15600,15600, 60 months,12.69%,352.48,B,RENT,50000,5.78,740,744,Charged Off
1300453,10800,10800, 36 months,12.42%,360.89,B,RENT,135000,12.12,675,679,Fully Paid
1300438,14000,14000, 36 months,12.42%,467.82,B,MORTGAGE,63000,7.35,715,719,Fully Paid
1296651,18825,18825, 60 months,17.58%,473.75,D,MORTGAGE,44000,24.98,700,704,Current
1300689,6000,6000, 36 months,13.49%,203.59,C,MORTGAGE,50000,15.58,675,679,Fully Paid
1300423,12000,12000, 36 months,9.91%,386.7,B,RENT,80000,14.83,705,709,Fully Paid
1295591,10000,10000, 36 months,12.42%,334.16,B,RENT,45000,10.45,680,684,Fully Paid
1293196,8000,8000, 36 months,7.90%,250.33,A,RENT,78000,6.09,720,724,Fully Paid
1300643,14125,14125, 36 months,9.91%,455.18,B,RENT,33000,23.13,725,729,Fully Paid
1300646,14000,14000, 36 months,12.69%,469.63,B,RENT,62800,19.24,690,694,Fully Paid
1287925,13200,8975, 60 months,17.27%,224.36,D,RENT,26400,9.64,690,694,Fully Paid
1300402,4000,4000, 36 months,19.03%,146.69,E,MORTGAGE,80000,20.59,680,684,Fully Paid
1279867,4000,4000, 36 months,12.69%,134.18,B,RENT,25000,6.86,685,689,Charged Off
1257917,10500,10500, 36 months,6.03%,319.58,A,MORTGAGE,65000,10.36,775,779,Fully Paid
1291243,5500,5500, 36 months,7.90%,172.1,A,OWN,59000,6.65,705,709,Fully Paid
1300569,7350,7350, 36 months,11.71%,243.11,B,RENT,33000,22.51,695,699,Fully Paid
1300594,10000,10000, 36 months,12.42%,334.16,B,RENT,39000,18.31,720,724,Charged Off
1287799,12000,12000, 36 months,7.51%,373.33,A,RENT,42000,10.74,735,739,Fully Paid
1300556,5000,5000, 60 months,11.71%,110.5,B,MORTGAGE,38004,23.78,710,714,Fully Paid
1292817,8000,8000, 60 months,11.71%,176.79,B,OWN,31000,16.22,745,749,Fully Paid
1194336,4500,4500, 36 months,8.90%,142.89,A,MORTGAGE,50700,23.43,700,704,Fully Paid
1300547,18000,18000, 36 months,12.42%,601.48,B,OWN,75000,12.51,720,724,Fully Paid
1300526,12300,12300, 60 months,13.49%,282.96,C,MORTGAGE,30000,12.76,720,724,Fully Paid
1300340,12000,12000, 36 months,13.49%,407.17,C,RENT,40000,15.72,670,674,Fully Paid
1300323,10000,10000, 36 months,13.49%,339.31,C,MORTGAGE,50000,5.88,695,699,Fully Paid
1300296,6000,6000, 36 months,7.90%,187.75,A,MORTGAGE,80000,8.87,740,744,Fully Paid
1300523,12000,12000, 36 months,12.69%,402.54,B,RENT,40000,22.2,695,699,Fully Paid
1300514,12000,12000, 36 months,8.90%,381.04,A,RENT,80000,9.13,715,719,Charged Off
1270530,7000,7000, 36 months,11.71%,231.54,B,RENT,75000,15.57,690,694,Fully Paid
1277661,35000,26825, 60 months,18.64%,690.56,E,MORTGAGE,85000,12,720,724,Fully Paid
1299269,1400,1400, 36 months,7.90%,43.81,A,RENT,28800,10,745,749,Fully Paid
1296011,16000,16000, 60 months,13.49%,368.08,C,RENT,35000,16.22,730,734,Charged Off
1300077,3200,3200, 36 months,9.91%,103.12,B,RENT,61200,2.16,700,704,Fully Paid
1300082,8000,8000, 36 months,7.90%,250.33,A,RENT,40000,13.35,735,739,Fully Paid
1300264,11875,11875, 60 months,12.69%,268.32,B,RENT,25920,23.75,725,729,Charged Off
1300233,5000,5000, 36 months,6.03%,152.18,A,MORTGAGE,54000,3.82,790,794,Fully Paid
1300229,1800,1800, 36 months,6.62%,55.27,A,RENT,18000,23.8,750,754,Fully Paid
1300036,35000,35000, 36 months,8.90%,1111.37,A,RENT,85000,17.73,735,739,Fully Paid
1300209,18000,18000, 36 months,8.90%,571.56,A,RENT,78000,7,740,744,Fully Paid
1300216,14000,14000, 36 months,7.90%,438.07,A,OWN,45600,19.74,740,744,Charged Off
1294147,5000,5000, 36 months,12.42%,167.08,B,RENT,70000,20.06,685,689,Fully Paid
1292952,8000,8000, 36 months,15.96%,281.1,C,RENT,70000,14.04,675,679,Fully Paid
1300203,10000,10000, 36 months,6.03%,304.36,A,MORTGAGE,80000,12.99,750,754,Fully Paid
1300001,10000,10000, 36 months,7.51%,311.11,A,RENT,50000,4.63,740,744,Fully Paid
